,account_id,count
38,2978,43
2703,241893,43
14751,3176607,43
15595,3416413,42
6856,1208791,42
16461,3644627,42
13509,2747860,42
13229,2649228,42
863,66497,42
2361,196177,42
5906,958349,42
14810,3194162,42
6892,1216893,42
2138,168782,42
516,38548,42
17070,3803759,42
10394,2015862,42
5121,720899,42
15741,3453522,42
291,20201,42
21919,5478442,42
8852,1703168,42
25245,6437413,42
2220,179029,42
24659,6257126,42
5623,863103,42
6110,1010878,42
6148,1019980,42
2569,222189,42
20805,5166799,42
20173,4962549,42
11566,2233109,42
16690,3701749,41
11263,2174252,41
2308,190814,41
4791,565608,41
11001,2126204,41
217,16617,41
12323,2396320,41
12683,2480066,41
9725,1896538,41
9100,1742289,41
12483,2436431,41
8622,1641681,41
24041,6090595,41
7427,1368859,41
4398,487370,41
22905,5759902,41
10946,2115898,41
7540,1407536,41
1859,145467,41
25071,6382969,41
16851,3750255,41
6750,1155997,41
17333,3865925,41
7735,1461309,41
762,60069,41
3626,376805,41
19278,4502598,41
8959,1715155,41
3314,333271,41
19283,4511678,41
21101,5237157,41
14202,3009345,41
23344,5906890,41
3065,303799,41
17343,3870740,41
6214,1034538,41
17716,3971054,40
8696,1669536,40
13280,2666931,40
22327,5592081,40
24274,6154312,40
13488,2740907,40
25192,6419048,40
7854,1488884,40
4705,543723,40
2615,229406,40
14621,3137380,40
8556,1627458,40
3599,372360,40
26600,6689834,40
19503,4594631,40
19935,4860465,40
9575,1861637,40
25511,6526922,40
17012,3790318,40
11639,2247939,40
14471,3092627,40
21666,5403735,40
9248,1763629,40
4617,527151,40
25734,6577516,40
4910,591541,40
426,31661,40
17000,3788072,39
10720,2078590,39
20300,5031156,39
21407,5324062,39
11679,2260123,39
16561,3671690,39
18326,4108021,39
12281,2386905,39
24665,6257732,39
1962,152985,39
4083,431609,39
9583,1862979,39
17885,4004492,39
1579,121013,39
3058,302961,39
25131,6401335,39
14664,3150822,39
6099,1008774,39
1366,102123,39
122,9475,39
4894,589148,39
19948,4862587,39
524,39111,39
26194,6648522,39
13592,2776171,39
13645,2793508,39
22602,5664502,39
951,73015,39
937,71524,39
10655,2068928,39
7979,1525035,39
17543,3927486,39
14965,3240598,39
23864,6032804,39
3247,324028,39
23093,5832768,39
11175,2155251,39
16793,3734529,39
17111,3813941,38
16696,3702833,38
16024,3527412,38
169,12407,38
16173,3563213,38
11759,2277487,38
22365,5603805,38
11151,2151232,38
9167,1751511,38
1338,99763,38
17411,3886587,38
11646,2249538,38
3153,312511,38
25205,6420667,38
26713,6702617,38
9210,1757857,38
1351,100917,38
23393,5917453,38
12430,2422857,38
6340,1064721,38
6437,1086795,38
10468,2030308,38
9476,1827464,38
13859,2877397,38
19975,4868810,38
2931,281240,38
8755,1684348,38
866,66649,38
2796,256745,38
2506,213390,38
18483,4146634,38
21137,5245787,38
4740,551005,38
19668,4688059,38
465,35211,38
10650,2066950,38
7739,1461829,38
2015,158328,38
19755,4796896,38
26264,6660339,37
22163,5551833,37
19140,4440883,37
8045,1535209,37
8096,1542638,37
3835,401472,37
7987,1526516,37
4438,499363,37
4485,509411,37
9994,1950617,37
24701,6270253,37
3975,418729,37
14083,2961104,37
6477,1094731,37
1114,82427,37
22029,5505559,37
1795,138940,37
23723,5996120,37
14820,3196427,37
12059,2339737,37
18441,4136132,37
18485,4147580,37
843,64827,36
3777,393501,36
1200,89848,36
21738,5423470,36
26257,6659519,36
2957,285912,36
25228,6427719,36
17439,3896144,36
2225,179722,36
25140,6404879,36
20205,4978384,36
19267,4498912,36
583,44088,36
8213,1560322,36
17534,3925172,36
13207,2643584,36
8575,1630301,36
7459,1382225,36
4376,482300,36
22541,5649748,36
19625,4624427,36
10584,2053709,36
18148,4061629,36
10211,1988936,36
18421,4131857,36
23811,6021675,36
18320,4107283,36
2521,215350,36
5754,908644,36
18419,4131101,36
14835,3201032,36
18251,4089056,36
5598,856784,36
23398,5917892,36
13533,2756235,36
6549,1110987,36
19368,4556208,35
20414,5085877,35
16538,3665152,35
17312,3861268,35
25555,6540375,35
6253,1046084,35
19234,4482368,35
22442,5624386,35
24969,6351074,35
25226,6426291,35
16577,3673956,35
20553,5114513,35
2943,283354,35
9152,1749327,35
24974,6352933,35
22071,5521554,35
2594,225998,35
3201,321019,35
20899,5188649,35
24521,6220085,35
13706,2819130,35
11929,2314913,35
19663,4665741,35
18122,4055445,35
14440,3083860,35
18184,4071157,35
18149,4061969,35
15088,3280884,35
18094,4049723,35
7832,1483561,35
23357,5909362,35
26107,6635844,35
21283,5289698,35
12426,2422164,35
6496,1098701,35
18765,4253068,35
23063,5823334,35
6345,1065273,35
6303,1058315,35
2352,194996,34
3252,324486,34
3340,336437,34
26667,6696034,34
20747,5154879,34
21729,5420197,34
2705,242334,34
10009,1954298,34
26036,6625459,34
5333,775675,34
2487,210595,34
2422,202421,34
26563,6687629,34
2854,266809,34
6150,1022503,34
10624,2062362,34
26838,6716581,34
24314,6164783,34
6431,1085001,34
11975,2324916,34
11976,2325045,34
10911,2109732,34
22291,5583018,34
9232,1760950,34
11009,2127956,34
13737,2832246,34
15953,3510999,34
25415,6488368,34
13115,2615922,34
5355,781960,34
16455,3642550,33
3399,343934,33
17466,3904766,33
3044,300558,33
3435,348714,33
